index,desc,Seri,RAM Kapasitesi,Dahili Hafıza,Batarya Kapasitesi,Ekran Boyutu,Ekran Çözünürlüğü,Ekran Yenileme Hızı,Ekran Teknolojisi,Ekran Parlaklık Değeri,Çıkış Yılı,Piksel Yoğunluğu,Ekran Gövde Oranı,Ekran Dayanıklılığı,NR - Display,NR - Performance,NR - Battery,NR - Camera,Arka Kamera Sayısı,Arka Kamera,İkinci Arka Kamera,Üçüncü Arka Kamera,Dördüncü Arka Kamera,Video Kayıt Çözünürlüğü,Video FPS Değeri,Ön Kamera,Ön Kamera Video Çözünürlüğü,Ön Kamera Video FPS Değeri,İşletim Sistemi,İşlemci (CPU),İşlemci Hızı,Çekirdek Sayısı,Grafik İşlemcisi (GPU),Chipset,Ağırlık,Boyut, Fiyat ,Fiyat_int,RAM_Kapasitesi_int,Hafiza_Kapasitesi_GB,Agirlik_int,image_url,marka
70,Xiaomi Redmi Note 12R 128 GB,Xiaomi Redmi,8 GB,128 GB,5000 mAh,6.79 inç,1080x2640 px,90 Hz,IPS LCD,550 nits,2023,396 PPI,85.1%,Corning Gorilla Glass 3,66,35,70,36,2 Kameralı,50 MP,2 MP,x,x,x,30 fps,5 MP,Full HD,30 fps,Android,Cortex A78,2.2 GHz,8,Adreno 613,Snapdragon 4 Gen 2,199 gr,168.6x76.28x8.17 mm," 8.499,00 TL ",8499,8.0,128,199.0,https://cdn.akakce.com/x/xiaomi/xiaomi-redmi-note-12r.jpg,Xiaomi
71,Xiaomi Redmi Note 12 128 GB 8 GB,Xiaomi Redmi,8 GB,128 GB,5000 mAh,6.67 inç,1080x2400 px,120 Hz,AMOLED,1200 nits,2023,395 PPI,84.65%,-,76,27,73,44,3 Kameralı,50 MP,8 MP,2 MP,x,Full HD,30 fps,13 MP,Full HD,30 fps,Android,Cortex A78,2.0 GHz,8,Adreno 610,Snapdragon 685,183.5 gr,165.66x75.96x7.85 mm," 7.499,00 TL ",7499,8.0,128,183.0,https://iis-akakce.akamaized.net/p.x?%2F%2Fcdn%2Epazarama%2Ecom%2Fasset%2F6941812723494%2Fimages%2Fxiaomiredminote12128gbrom8gbrammavixiaomitrkiyegarantili%2D1%2Ejpg,Xiaomi
72,Xiaomi Redmi A2 Plus 64 GB 4 GB,Xiaomi Redmi,4 GB,64 GB,5000 mAh,6.52 inç,720x1600 px,60 Hz,IPS LCD,x,2023,269 PPI,x,x,45,18,59,31,2 Kameralı,8 MP,x,x,x,Full HD,30 fps,5 MP,x,30 fps,Android,Cortex A53,2.2 GHz,8,x,x,192 gr,x," 5.148,00 TL ",5148,4.0,64,192.0,https://cdn.akakce.com/x/xiaomi/xiaomi-redmi-a2-plus.jpg,Xiaomi
73,Realme GT 7 Pro 512 GB,-,12 GB,512 GB,6500 mAh,6.78 inç,1264x2780 px,120 Hz,OLED,6000 nits,2024,450 PPI,89.4%,Corning Gorilla Glass Victus 2,92,99,100,80,3 Kameralı,50 MP,50 MP,8 MP,x,8K Ultra HD,24 fps,16 MP,Full HD,30 fps,Android,Oryon V2 Phoenix L,4.32 GHz,8,Adreno,Snapdragon 8 Elite,222 gr,162.5x76.9x8.6 mm," 55.000,00 TL ",55000,12.0,512,222.0,https://cdn.akakce.com/x/realme/realme-gt-7-pro.jpg,Realme
74,Realme GT 6 512 GB 16 GB,-,16 GB,512 GB,5500 mAh,6.78 inç,1264x2780 px,120 Hz,AMOLED,6000 nits,2024,450 PPI,91.64%,Corning Gorilla Glass Victus 2,91,74,87,75,3 Kameralı,50 MP,8 MP,50 MP,x,4K Ultra HD,60 fps,32 MP,4K Ultra HD,30 fps,Android,Cortex X4,3.0 GHz,8,Adreno 735,Snapdragon 8s Gen 3,199 gr,162x75.1x8.6 mm," 36.826,81 TL ",36826,16.0,512,199.0,https://cdn.akakce.com/x/realme/realme-gt-6-512-gb-yesil.jpg,Realme
75,Realme GT 6T 256 GB,-,12 GB,256 GB,5500 mAh,6.78 inç,1264x2780 px,120 Hz,AMOLED,6000 nits,2024,450 PPI,91.85%,Corning Gorilla Glass Victus 2,89,71,89,56,2 Kameralı,50 MP,8 MP,-,x,4K Ultra HD,30 fps,32 MP,4K Ultra HD,30 fps,Android,Cortex X4,2.8 GHz,8,Adreno 732,Snapdragon 7+ Gen 3,191 gr,162x75.1x8.7 mm," 27.599,00 TL ",27599,12.0,256,191.0,https://cdn.akakce.com/x/realme/realme-gt-6t.jpg,Realme
76,Realme 12 Pro Plus 512 GB 12 GB,-,12 GB,512 GB,5000 mAh,6.7 inç,1080x2412 px,120 Hz,AMOLED,950 nits,2024,394 PPI,90.16%,Corning Gorilla Glass Victus ,81,46,85,68,3 Kameralı,50 MP,64 MP,8 MP,x,4K Ultra HD,30 fps,32 MP,Full HD,30 fps,Android,Cortex A78,2.4 GHz,8,Adreno 710,-,196 gr,161.4x74.2x8.9 mm," 26.999,00 TL ",26999,12.0,512,196.0,https://cdn.akakce.com/x/realme/realme-12-pro-plus.jpg,Realme
77,Realme 12 Pro Plus 256 GB 8 GB,-,8 GB,256 GB,5000 mAh,6.67 inç,1080x2412 px,120 Hz,AMOLED,950 nits,2024,394 PPI,90.16%,Corning Gorilla Glass Victus ,81,46,85,68,3 Kameralı,50 MP,64 MP,8 MP,x,4K Ultra HD,30 fps,32 MP,Full HD,30 fps,Android,Cortex A78,2.4 GHz,8,Adreno 710,-,196 gr,161.4x74.2x8.9 mm," 18.899,00 TL ",18899,8.0,256,196.0,https://cdn.akakce.com/x/realme/realme-12-pro-plus-256-gb-8-gb.jpg,Realme
78,Realme 12 Plus 256 GB,-,8 GB,256 GB,5000 mAh,6.67 inç,-,120 Hz,AMOLED,600 nits,2024,-,-,Tempered Glass,86,43,74,66,-,50 MP,8 MP,2 MP,x,4K Ultra HD,30 fps,16 MP,-,-,Android,-,2.6 GHz,8,-,MediaTek Dimensity 7050,190 gr,162.9x76x7.9 mm," 14.799,00 TL ",14799,8.0,256,190.0,https://cdn.akakce.com/x/realme/realme-12-pro-plus-256-gb-8-gb.jpg,Realme
79,Realme 12 512 GB,-,8 GB,512 GB,5000 mAh,6.67 inç,1080x2400 px,120 Hz,AMOLED,2000 nits,2024,395 PPI,92.6%,Tempered Glass,78,32,76,36,2 Kameralı,50 MP,2 MP,-,x,Full HD,30 fps,16 MP,-,30 fps,Android,Cortex A73,2.8 GHz,8,-,Snapdragon 685,187 gr,162.9x76x7.9 mm," 13.579,03 TL ",13579,8.0,512,187.0,https://cdn.akakce.com/x/realme/realme-12-512-gb.jpg,Realme
80,Realme 11 Pro Plus 512 GB,-,12 GB,512 GB,5000 mAh,6.7 inç,1080x2412 px,120 Hz,AMOLED,950 nits,2023,394 PPI,90.24%,Tempered Glass,80,43,76,51,3 Kameralı,200 MP,8 MP,2 MP,x,4K Ultra HD,30 fps,32 MP,Full HD,30 fps,Android,Cortex A78,2.6 GHz,8,Mali-G68 MC4,MediaTek Dimensity 7050,-,-," 20.363,61 TL ",20363,12.0,512,203.0,https://iis-akakce.akamaized.net/p.x?%2F%2Fcdn%2Evatanbilgisayar%2Ecom%2FUpload%2FPRODUCT%2Frealme%2Fthumb%2F141339%2D1%5Fsmall%2Ejpg,Realme
81,Realme 11 Pro 256 GB,-,8 GB,256 GB,5000 mAh,6.7 inç,1080x2412 px,120 Hz,OLED,950 nits,2023,394 PPI,90.24%,Tempered Glass,79,41,76,44,2 Kameralı,100 MP,2 MP,-,x,4K Ultra HD,30 fps,16 MP,Full HD,30 fps,Android,Cortex A78,2.6 GHz,8,Mali-G68 MC4,MediaTek Dimensity 7050,191 gr,161.6x73.9x7.9 mm," 15.543,00 TL ",15543,8.0,256,191.0,https://cdn.akakce.com/x/realme/realme-11-pro.jpg,Realme
82,Realme 11 128 GB,-,8 GB,128 GB,5000 mAh,6.4 inç,-,90 Hz,Super AMOLED,-,2023,-,90.8%,Corning Gorilla Glass 5,69,34,71,36,2 Kameralı,108 MP,2 MP,-,x,Full HD,30 fps,16 MP,Full HD,30 fps,Android,Cortex A76,2.2 GHz,8,Mali-G57 MC2,MediaTek Helio G99,-,159.9x73.3x7.95 mm," 9.908,00 TL ",9908,8.0,128,203.0,https://cdn.akakce.com/x/realme/realme-11-128-gb.jpg,Realme
83,Realme C75 512 GB,x,8 GB,512 GB,6000 mAh,6.72 inç,1080x2400 px,90 Hz,IPS LCD,580 nits,2024,392 PPI,-,"ArmorShell",71,22,79,54,-,50 MP,-,x,x,Full HD,-,8 MP,Full HD,30 fps,Android,Cortex A75,2.0 GHz,8,Mali-G52 MC2,MediaTek Helio G92 Max,196 gr,165.7x76.2x8 mm," 15.199,00 TL ",15199,8.0,512,196.0,https://cdn.akakce.com/x/realme/realme-c75-512-gb.jpg,Realme
84,Realme C75 256 GB,-,8 GB,256 GB,6000 mAh,6.72 inç,1080x2400 px,90 Hz,IPS LCD,580 nits,2024,392 PPI,-,"ArmorShell",71,22,79,54,-,50 MP,-,-,x,Full HD,-,8 MP,Full HD,30 fps,Android,Cortex A75,2.0 GHz,8,Mali-G52 MC2,MediaTek Helio G92 Max,196 gr,165.7x76.2x8 mm," 10.752,00 TL ",10752,8.0,256,196.0,https://cdn.akakce.com/x/realme/realme-c75-256-gb.jpg,Realme
85,Realme C65 128 GB 8 GB,x,8 GB,128 GB,5000 mAh,6.67 inç,-,90 Hz,IPS LCD,625 nits,2024,-,-,Tempered Glass,59,23,71,43,2 Kameralı,50 MP,2 MP,x,x,Full HD,30 fps,8 MP,Full HD,30 fps,Android,Cortex A75,2.0 GHz,8,-,MediaTek Helio G85,185 gr,164.5x76.7x7.8 mm," 7.199,27 TL ",7199,8.0,128,185.0,https://cdn.akakce.com/x/realme/realme-c65-128-gb-8-gb.jpg,Realme
86,Realme C53 256 GB 8 GB,x,8 GB,256 GB,5000 mAh,6.74 inç,720x1600 px,90 Hz,IPS LCD,560 nits,2023,-,90.3%,Tempered Glass,65,23,64,37,2 Kameralı,50 MP,0.8 MP,x,x,Full HD,30 fps,8 MP,HD,30 fps,Android,Cortex A75,1.8 GHz,8,-,Unisoc T612,182 gr,-," 6.809,99 TL ",6809,8.0,256,182.0,https://iis-akakce.akamaized.net/p.x?%2F%2Freimg%2Dteknosa%2Dcloud%2Dprod%2Emncdn%2Ecom%2Fmnresize%2F300%2F300%2Fproductimage%2F125079587%2F125079587%5F0%5FMC%2F90520038%2Ejpg%3Fimg%3D125079587,Realme
87,Realme C55 256 GB,x,8 GB,256 GB,5000 mAh,6.72 inç,1080x2400 px,90 Hz,IPS LCD,680 nits,2023,392 PPI,91.4%,Tempered Glass,56,20,66,38,2 Kameralı,64 MP,2 MP,x,x,Full HD,60 fps,8 MP,Full HD,30 fps,Android,Cortex A75,2.0 GHz,8,Mali-G52 MC2,MediaTek Helio G88,189.5 gr,165.6x75.9x7.89 mm," 9.378,60 TL ",9378,8.0,256,189.0,https://cdn.akakce.com/x/realme/realme-c55-256-gb.jpg,Realme
88,Realme C51 128 GB,x,4 GB,128 GB,5000 mAh,6.74 inç,720x1600 px,90 Hz,IPS LCD,560 nits,2023,260 PPI,84.83%,Tempered Glass,64,23,69,46,2 Kameralı,50 MP,2 MP,x,x,Full HD,30 fps,5 MP,HD,30 fps,Android,Cortex A75,1.8 GHz,8,x,Unisoc T612,186 gr,167.2x76.7x7.99 mm," 7.000,00 TL ",7000,4.0,128,186.0,https://cdn.akakce.com/x/realme/realme-c51.jpg,Realme
89,Realme Note 60 128 GB 4 GB,-,4 GB,128 GB,5000 mAh,6.74 inç,1600x720 px,90 Hz,IPS LCD,-,2024,-,-,Tempered Glass,61,23,59,41,2 Kameralı,13 MP,-,x,x,Full HD,30 fps,5 MP,HD,30 fps,Android,Cortex A75,1.8 GHz,8,-,-,187 gr,-," 6.080,86 TL ",6080,4.0,128,187.0,https://cdn.akakce.com/x/realme/realme-note-60.jpg,Realme
90,Realme Note 50 128 GB,-,4 GB,128 GB,5000 mAh,6.74 inç,720x1600 px,90 Hz,IPS LCD,560 nits,2024,-,90.3%,Tempered Glass,58,20,58,32,2 Kameralı,13 MP,-,-,x,Full HD,30 fps,5 MP,HD,30 fps,Android,Cortex A75,1.8 GHz,8,-,Unisoc T612,186 gr,167.2x76.7x7.99 mm," 6.721,82 TL ",6721,4.0,128,186.0,https://cdn.akakce.com/x/realme/realme-note-50.jpg,Realme
91,Tecno Camon 30 Pro 512 GB Gri,x,12 GB,512 GB,5000 mAh,6.78 inç,1080x2436 px,144 Hz,AMOLED,-,2024,393 PPI,-,	Corning Gorilla Glass,84,56,85,56,3 Kameralı,50 MP,50 MP,2 MP,-,4K Ultra HD,-,50 MP,4K Ultra HD,30 fps,Android,Cortex A78,3.1 GHz,8,Mali-G610 MC6,MediaTek Dimensity 8200,188.5 gr,164.2x74.4x7.46 mm," 21.300,05 TL ",21300,12.0,512,188.0,https://cdn.akakce.com/x/tecno/tecno-camon-30-pro-512-gb-beyaz.jpg,Tecno
92,Tecno Camon 30S Pro 256 GB,-,8 GB,256 GB,5000 mAh,6.78 inç,1080x2436 px,120 Hz,AMOLED,1300 nits,2024,393 PPI,89.52%,Tempered Glass,87,33,66,53,3 Kameralı,50 MP,2 MP,-,x,-,-,50 MP,-,-,Android,Cortex A76,2.2 GHz,8,Mali-G57 MC2,MediaTek Helio G100-Ultra,-,-," 14.961,55 TL ",14961,8.0,256,203.0,https://cdn.akakce.com/x/tecno/tecno-camon-30s-pro.jpg,Tecno
93,Tecno Camon 30 256 GB 12 GB,-,12 GB,256 GB,5000 mAh,6.78 inç,1080x2436 px,120 Hz,AMOLED,-,2024,-,87.94%,Tempered Glass,84,32,72,47,3 Kameralı,50 MP,2 MP,-,x,2K Ultra HD,30 fps,50 MP,-,30 fps,Android,Cortex A76,2.2 GHz,8,Mali-G52 MC2,MediaTek Helio G99,-,165.27x75.33x7.7 mm," 12.899,00 TL ",12899,12.0,256,203.0,https://cdn.akakce.com/x/tecno/tecno-camon-30.jpg,Tecno
94,Tecno Camon 30 5G 512 GB,-,12 GB,512 GB,-,6.78 inç,-,120 Hz,AMOLED,-,-,-,-,Tempered Glass,84,32,72,47,-,-,-,-,x,-,-,-,-,-,Android,-,-,-,-,-,-,-," 18.216,00 TL ",18216,12.0,512,203.0,https://cdn.akakce.com/x/tecno/tecno-camon-30-5g.jpg,Tecno
95,Tecno Camon 20 Premier 512 GB,-,8 GB,512 GB,5000 mAh,6.67 inç,1080x2400 px,120 Hz,AMOLED,-,2023,395 PPI,88.96%,Tempered Glass,75,48,66,52,3 Kameralı,50 MP,108 MP,2 MP,x,4K Ultra HD,30 fps,32 MP,2K Ultra HD,30 fps,Android,Cortex A78,3.0 GHz,8,Mali-G77 MC9,MediaTek Dimensity 8050,203 gr,-," 15.299,00 TL ",15299,8.0,512,203.0,https://cdn.akakce.com/x/tecno/tecno-camon-20-premier.jpg,Tecno
96,Tecno Pova 6 Pro 256 GB,-,12 GB,256 GB,6000 mAh,6.78 inç,1080x2436 px,120 Hz,AMOLED,1300 nits,2024,393 PPI,86.9%,Tempered Glass,84,36,95,48,3 Kameralı,108 MP,2 MP,-,x,2K Ultra HD,30 fps,32 MP,2K Ultra HD,30 fps,Android,Cortex A76,2.4 GHz,8,Mali-G57 MC2,MediaTek Dimensity 6080,195 gr,165.66x75.96x7.85 mm," 20.496,92 TL ",20496,12.0,256,195.0,https://cdn.akakce.com/x/tecno/tecno-pova-6-pro.jpg,Tecno
97,Tecno Pova 6 Pro 256 GB,-,12 GB,256 GB,6000 mAh,6.78 inç,1080x2436 px,120 Hz,AMOLED,1300 nits,2024,393 PPI,86.9%,Tempered Glass,82,35,86,44,3 Kameralı,108 MP,2 MP,-,x,2K Ultra HD,30 fps,32 MP,2K Ultra HD,30 fps,Android,Cortex A76,2.4 GHz,8,Mali-G57 MC2,MediaTek Dimensity 6080,195 gr,165.66x75.96x7.85 mm," 20.496,92 TL ",20496,12.0,256,195.0,https://cdn.akakce.com/x/tecno/tecno-pova-6-pro.jpg,Tecno
